Area,Country,Year,Series,Capital_city,Value
4,Afghanistan,2005,Urban population (percent),,22.7
4,Afghanistan,2005,Urban population (percent growth rate per annum),,5.0
4,Afghanistan,2005,Rural population (percent growth rate per annum),,4.3
4,Afghanistan,2005,Capital city population (thousands),Kabul,2905.0
4,Afghanistan,2005,Capital city population (as a percentage of total population),Kabul,11.6
4,Afghanistan,2005,Capital city population (as a percentage of total urban population),Kabul,51.0
4,Afghanistan,2010,Urban population (percent),,23.7
4,Afghanistan,2010,Urban population (percent growth rate per annum),,3.7
4,Afghanistan,2010,Rural population (percent growth rate per annum),,2.5
4,Afghanistan,2010,Capital city population (thousands),Kabul,3289.0
4,Afghanistan,2010,Capital city population (as a percentage of total population),Kabul,11.4
4,Afghanistan,2010,Capital city population (as a percentage of total urban population),Kabul,48.1
4,Afghanistan,2015,Urban population (percent),,24.8
4,Afghanistan,2015,Urban population (percent growth rate per annum),,4.0
4,Afghanistan,2015,Rural population (percent growth rate per annum),,2.9
4,Afghanistan,2015,Capital city population (thousands),Kabul,3724.0
4,Afghanistan,2015,Capital city population (as a percentage of total population),Kabul,11.0
4,Afghanistan,2015,Capital city population (as a percentage of total urban population),Kabul,44.5
4,Afghanistan,2018,Urban population (percent),,25.5
4,Afghanistan,2018,Capital city population (thousands),Kabul,4012.0
8,Albania,2005,Urban population (percent),,46.7
8,Albania,2005,Urban population (percent growth rate per annum),,2.0
8,Albania,2005,Rural population (percent growth rate per annum),,-2.1
8,Albania,2005,Capital city population (thousands),Tirana,372.0
8,Albania,2005,Capital city population (as a percentage of total population),Tirana,12.1
8,Albania,2005,Capital city population (as a percentage of total urban population),Tirana,25.8
8,Albania,2010,Urban population (percent),,52.2
8,Albania,2010,Urban population (percent growth rate per annum),,1.3
8,Albania,2010,Rural population (percent growth rate per annum),,-3.1
8,Albania,2010,Capital city population (thousands),Tirana,409.0
8,Albania,2010,Capital city population (as a percentage of total population),Tirana,13.9
8,Albania,2010,Capital city population (as a percentage of total urban population),Tirana,26.6
8,Albania,2015,Urban population (percent),,57.4
8,Albania,2015,Urban population (percent growth rate per annum),,1.8
8,Albania,2015,Rural population (percent growth rate per annum),,-2.5
8,Albania,2015,Capital city population (thousands),Tirana,449.0
8,Albania,2015,Capital city population (as a percentage of total population),Tirana,15.4
8,Albania,2015,Capital city population (as a percentage of total urban population),Tirana,26.8
8,Albania,2018,Urban population (percent),,60.3
8,Albania,2018,Capital city population (thousands),Tirana,476.0
12,Algeria,2005,Urban population (percent),,63.8
12,Algeria,2005,Urban population (percent growth rate per annum),,2.6
12,Algeria,2005,Rural population (percent growth rate per annum),,-0.7
12,Algeria,2005,Capital city population (thousands),Algiers,2282.0
12,Algeria,2005,Capital city population (as a percentage of total population),Algiers,6.9
12,Algeria,2005,Capital city population (as a percentage of total urban population),Algiers,10.7
12,Algeria,2010,Urban population (percent),,67.5
12,Algeria,2010,Urban population (percent growth rate per annum),,2.8
12,Algeria,2010,Rural population (percent growth rate per annum),,-0.5
12,Algeria,2010,Capital city population (thousands),Algiers,2432.0
12,Algeria,2010,Capital city population (as a percentage of total population),Algiers,6.7
12,Algeria,2010,Capital city population (as a percentage of total urban population),Algiers,10.0
12,Algeria,2015,Urban population (percent),,70.8
12,Algeria,2015,Urban population (percent growth rate per annum),,2.9
12,Algeria,2015,Rural population (percent growth rate per annum),,-0.2
12,Algeria,2015,Capital city population (thousands),Algiers,2592.0
12,Algeria,2015,Capital city population (as a percentage of total population),Algiers,6.5
