Area,Country,Year,Series,Value
4,Afghanistan,2019,Employment by industry: Industry (%) Male and Female,6.82
8,Albania,2019,Employment by industry: Industry (%) Male and Female,18.8
12,Algeria,2019,Employment by industry: Industry (%) Male and Female,46.66
24,Angola,2019,Employment by industry: Industry (%) Male and Female,8.72
32,Argentina,2019,Employment by industry: Industry (%) Male and Female,23.08
51,Armenia,2019,Employment by industry: Industry (%) Male and Female,16.18
36,Australia,2019,Employment by industry: Industry (%) Male and Female,18.79
40,Austria,2019,Employment by industry: Industry (%) Male and Female,25.3
31,Azerbaijan,2019,Employment by industry: Industry (%) Male and Female,13.81
44,Bahamas,2019,Employment by industry: Industry (%) Male and Female,11.7
48,Bahrain,2019,Employment by industry: Industry (%) Male and Female,36.08
50,Bangladesh,2019,Employment by industry: Industry (%) Male and Female,21.57
52,Barbados,2019,Employment by industry: Industry (%) Male and Female,19.07
112,Belarus,2019,Employment by industry: Industry (%) Male and Female,30.81
56,Belgium,2019,Employment by industry: Industry (%) Male and Female,21.15
84,Belize,2019,Employment by industry: Industry (%) Male and Female,15.27
204,Benin,2019,Employment by industry: Industry (%) Male and Female,18.72
64,Bhutan,2019,Employment by industry: Industry (%) Male and Female,9.73
68,Bolivia (Plurin. State of),2019,Employment by industry: Industry (%) Male and Female,22.53
70,Bosnia and Herzegovina,2019,Employment by industry: Industry (%) Male and Female,32.07
72,Botswana,2019,Employment by industry: Industry (%) Male and Female,13.7
76,Brazil,2019,Employment by industry: Industry (%) Male and Female,20.89
96,Brunei Darussalam,2019,Employment by industry: Industry (%) Male and Female,17.14
100,Bulgaria,2019,Employment by industry: Industry (%) Male and Female,28.85
854,Burkina Faso,2019,Employment by industry: Industry (%) Male and Female,31.93
108,Burundi,2019,Employment by industry: Industry (%) Male and Female,2.48
132,Cabo Verde,2019,Employment by industry: Industry (%) Male and Female,6.92
116,Cambodia,2019,Employment by industry: Industry (%) Male and Female,26.8
120,Cameroon,2019,Employment by industry: Industry (%) Male and Female,9.32
124,Canada,2019,Employment by industry: Industry (%) Male and Female,19.31
140,Central African Republic,2019,Employment by industry: Industry (%) Male and Female,7.88
148,Chad,2019,Employment by industry: Industry (%) Male and Female,4.95
830,Channel Islands,2019,Employment by industry: Industry (%) Male and Female,29.64
152,Chile,2019,Employment by industry: Industry (%) Male and Female,22.66
156,China,2019,Employment by industry: Industry (%) Male and Female,26.04
344,"China, Hong Kong SAR",2019,Employment by industry: Industry (%) Male and Female,12.85
446,"China, Macao SAR",2019,Employment by industry: Industry (%) Male and Female,19.63
170,Colombia,2019,Employment by industry: Industry (%) Male and Female,19.18
174,Comoros,2019,Employment by industry: Industry (%) Male and Female,15.49
178,Congo,2019,Employment by industry: Industry (%) Male and Female,25.87
188,Costa Rica,2019,Employment by industry: Industry (%) Male and Female,18.53
384,CÃ´te dâIvoire,2019,Employment by industry: Industry (%) Male and Female,6.29
191,Croatia,2019,Employment by industry: Industry (%) Male and Female,26.64
192,Cuba,2019,Employment by industry: Industry (%) Male and Female,16.52
196,Cyprus,2019,Employment by industry: Industry (%) Male and Female,16.84
203,Czechia,2019,Employment by industry: Industry (%) Male and Female,37.13
408,Dem. People's Rep. Korea,2019,Employment by industry: Industry (%) Male and Female,17.5
180,Dem. Rep. of the Congo,2019,Employment by industry: Industry (%) Male and Female,11.0
208,Denmark,2019,Employment by industry: Industry (%) Male and Female,18.51
262,Djibouti,2019,Employment by industry: Industry (%) Male and Female,30.18
214,Dominican Republic,2019,Employment by industry: Industry (%) Male and Female,17.66
218,Ecuador,2019,Employment by industry: Industry (%) Male and Female,18.58
818,Egypt,2019,Employment by industry: Industry (%) Male and Female,25.76
222,El Salvador,2019,Employment by industry: Industry (%) Male and Female,21.07
226,Equatorial Guinea,2019,Employment by industry: Industry (%) Male and Female,6.18
232,Eritrea,2019,Employment by industry: Industry (%) Male and Female,7.02
233,Estonia,2019,Employment by industry: Industry (%) Male and Female,29.33
748,Eswatini,2019,Employment by industry: Industry (%) Male and Female,12.31
231,Ethiopia,2019,Employment by industry: Industry (%) Male and Female,9.82
242,Fiji,2019,Employment by industry: Industry (%) Male and Female,13.28
246,Finland,2019,Employment by industry: Industry (%) Male and Female,21.81
250,France,2019,Employment by industry: Industry (%) Male and Female,20.17
258,French Polynesia,2019,Employment by industry: Industry (%) Male and Female,17.36
266,Gabon,2019,Employment by industry: Industry (%) Male and Female,12.65
270,Gambia,2019,Employment by industry: Industry (%) Male and Female,15.5
268,Georgia,2019,Employment by industry: Industry (%) Male and Female,12.86
276,Germany,2019,Employment by industry: Industry (%) Male and Female,26.78
288,Ghana,2019,Employment by industry: Industry (%) Male and Female,14.33
300,Greece,2019,Employment by industry: Industry (%) Male and Female,15.31
316,Guam,2019,Employment by industry: Industry (%) Male and Female,16.02
320,Guatemala,2019,Employment by industry: Industry (%) Male and Female,21.09
324,Guinea,2019,Employment by industry: Industry (%) Male and Female,6.02
624,Guinea-Bissau,2019,Employment by industry: Industry (%) Male and Female,6.87
328,Guyana,2019,Employment by industry: Industry (%) Male and Female,26.31
332,Haiti,2019,Employment by industry: Industry (%) Male and Female,12.79
340,Honduras,2019,Employment by industry: Industry (%) Male and Female,21.32
348,Hungary,2019,Employment by industry: Industry (%) Male and Female,29.68
352,Iceland,2019,Employment by industry: Industry (%) Male and Female,14.99
356,India,2019,Employment by industry: Industry (%) Male and Female,24.06
360,Indonesia,2019,Employment by industry: Industry (%) Male and Female,21.05
364,Iran (Islamic Republic of),2019,Employment by industry: Industry (%) Male and Female,32.42
368,Iraq,2019,Employment by industry: Industry (%) Male and Female,19.68
372,Ireland,2019,Employment by industry: Industry (%) Male and Female,18.82
376,Israel,2019,Employment by industry: Industry (%) Male and Female,17.02
