Area,Country,Year,Series,Value
4,Afghanistan,2019,Population density,58.2694
8,Albania,2019,Population density,105.143
12,Algeria,2019,Population density,18.0763
16,American Samoa,2019,Population density,276.56
20,Andorra,2019,Population density,164.1319
24,Angola,2019,Population density,25.5276
660,Anguilla,2019,Population density,165.2111
28,Antigua and Barbuda,2019,Population density,220.7227
32,Argentina,2019,Population density,16.3631
51,Armenia,2019,Population density,103.8894
533,Aruba,2019,Population density,590.6333
36,Australia,2019,Population density,3.2807
40,Austria,2019,Population density,108.6666
31,Azerbaijan,2019,Population density,121.5577
44,Bahamas,2019,Population density,38.9093
48,Bahrain,2019,Population density,2159.4368
50,Bangladesh,2019,Population density,1252.5633
52,Barbados,2019,Population density,667.5
112,Belarus,2019,Population density,46.5843
56,Belgium,2019,Population density,381.0875
84,Belize,2019,Population density,17.1132
204,Benin,2019,Population density,104.6572
60,Bermuda,2019,Population density,1250.12
64,Bhutan,2019,Population density,20.0197
68,Bolivia (Plurin. State of),2019,Population density,10.6278
535,"Bonaire, St. Eustatius & Saba",2019,Population density,79.2043
70,Bosnia and Herzegovina,2019,Population density,64.7255
72,Botswana,2019,Population density,4.0649
76,Brazil,2019,Population density,25.2508
92,British Virgin Islands,2019,Population density,200.2
96,Brunei Darussalam,2019,Population density,82.2173
100,Bulgaria,2019,Population density,64.4816
854,Burkina Faso,2019,Population density,74.274
108,Burundi,2019,Population density,449.0101
132,Cabo Verde,2019,Population density,136.4603
116,Cambodia,2019,Population density,93.3976
120,Cameroon,2019,Population density,54.7405
124,Canada,2019,Population density,4.114
136,Cayman Islands,2019,Population density,270.6167
140,Central African Republic,2019,Population density,7.6169
148,Chad,2019,Population density,12.6643
830,Channel Islands,2019,Population density,906.6263
152,Chile,2019,Population density,25.4892
156,China,2019,Population density,152.7217
344,"China, Hong Kong SAR",2019,Population density,7082.0514
446,"China, Macao SAR",2019,Population density,21419.5652
170,Colombia,2019,Population density,45.3713
174,Comoros,2019,Population density,457.2198
178,Congo,2019,Population density,15.7555
184,Cook Islands,2019,Population density,73.1167
188,Costa Rica,2019,Population density,98.8555
384,Côte dIvoire,2019,Population density,80.8696
191,Croatia,2019,Population density,73.8081
192,Cuba,2019,Population density,106.4777
531,Curaçao,2019,Population density,368.0721
196,Cyprus,2019,Population density,129.7159
203,Czechia,2019,Population density,138.3896
408,Dem. People's Rep. Korea,2019,Population density,213.1564
180,Dem. Rep. of the Congo,2019,Population density,38.2835
208,Denmark,2019,Population density,136.0329
262,Djibouti,2019,Population density,42.0
212,Dominica,2019,Population density,95.744
214,Dominican Republic,2019,Population density,222.2466
218,Ecuador,2019,Population density,69.9535
818,Egypt,2019,Population density,100.8469
222,El Salvador,2019,Population density,311.4649
226,Equatorial Guinea,2019,Population density,48.3417
232,Eritrea,2019,Population density,34.6249
233,Estonia,2019,Population density,31.2727
748,Eswatini,2019,Population density,66.7517
231,Ethiopia,2019,Population density,112.0787
238,Falkland Islands (Malvinas),2019,Population density,0.2775
234,Faroe Islands,2019,Population density,34.8696
242,Fiji,2019,Population density,48.7112
246,Finland,2019,Population density,18.2045
250,France,2019,Population density,118.946
254,French Guiana,2019,Population density,3.5381
258,French Polynesia,2019,Population density,76.3079
266,Gabon,2019,Population density,8.4316
270,Gambia,2019,Population density,231.9868
268,Georgia,2019,Population density,57.5157
276,Germany,2019,Population density,239.6059
288,Ghana,2019,Population density,133.6814
292,Gibraltar,2019,Population density,3370.1
300,Greece,2019,Population density,81.2526
304,Greenland,2019,Population density,0.1381
308,Grenada,2019,Population density,329.4206
312,Guadeloupe,2019,Population density,245.7346
316,Guam,2019,Population density,309.8037
320,Guatemala,2019,Population density,164.0675
324,Guinea,2019,Population density,51.9748
624,Guinea-Bissau,2019,Population density,68.3116
328,Guyana,2019,Population density,3.9765
332,Haiti,2019,Population density,408.6748
336,Holy See,2019,Population density,1815.9091
340,Honduras,2019,Population density,87.1045
348,Hungary,2019,Population density,106.9776
352,Iceland,2019,Population density,3.3819
356,India,2019,Population density,459.5797
360,Indonesia,2019,Population density,149.3873
364,Iran (Islamic Republic of),2019,Population density,50.9127
368,Iraq,2019,Population density,90.5088
372,Ireland,2019,Population density,70.8738
833,Isle of Man,2019,Population density,148.393
376,Israel,2019,Population density,393.6866
380,Italy,2019,Population density,205.8546
388,Jamaica,2019,Population density,272.2326
392,Japan,2019,Population density,347.9867
400,Jordan,2019,Population density,113.7834
398,Kazakhstan,2019,Population density,6.8717
404,Kenya,2019,Population density,92.3744
296,Kiribati,2019,Population density,145.1926
414,Kuwait,2019,Population density,236.0877
417,Kyrgyzstan,2019,Population density,33.4507
418,Lao People's Dem. Rep.,2019,Population density,31.0635
428,Latvia,2019,Population density,30.655
422,Lebanon,2019,Population density,670.1577
426,Lesotho,2019,Population density,70.0022
430,Liberia,2019,Population density,51.2601
434,Libya,2019,Population density,3.8518
438,Liechtenstein,2019,Population density,237.6188
440,Lithuania,2019,Population density,44.0314
442,Luxembourg,2019,Population density,237.7332
450,Madagascar,2019,Population density,46.3553
454,Malawi,2019,Population density,197.5896
458,Malaysia,2019,Population density,97.2448
462,Maldives,2019,Population density,1769.8433
466,Mali,2019,Population density,16.1106
470,Malta,2019,Population density,1376.1625
584,Marshall Islands,2019,Population density,326.6167
474,Martinique,2019,Population density,354.2962
478,Mauritania,2019,Population density,4.3909
480,Mauritius,2019,Population density,625.4522
175,Mayotte,2019,Population density,709.7333
484,Mexico,2019,Population density,65.627
583,Micronesia (Fed. States of),2019,Population density,162.5929
492,Monaco,2019,Population density,26150.3356
496,Mongolia,2019,Population density,2.076
499,Montenegro,2019,Population density,46.6905
500,Montserrat,2019,Population density,49.89
504,Morocco,2019,Population density,81.7203
508,Mozambique,2019,Population density,38.615
104,Myanmar,2019,Population density,82.7281
516,Namibia,2019,Population density,3.03
520,Nauru,2019,Population density,537.8
524,Nepal,2019,Population density,199.5724
528,Netherlands,2019,Population density,507.0323
540,New Caledonia,2019,Population density,15.4677
554,New Zealand,2019,Population density,18.1651
558,Nicaragua,2019,Population density,54.3917
562,Niger,2019,Population density,18.4027
566,Nigeria,2019,Population density,220.6524
570,Niue,2019,Population density,6.2115
807,North Macedonia,2019,Population density,82.6114
580,Northern Mariana Islands,2019,Population density,124.3826
578,Norway,2019,Population density,14.7258
512,Oman,2019,Population density,16.0743
158,Other non-specified areas,2019,Population density,671.3888
586,Pakistan,2019,Population density,280.9326
585,Palau,2019,Population density,39.1478
591,Panama,2019,Population density,57.1219
598,Papua New Guinea,2019,Population density,19.3793
600,Paraguay,2019,Population density,17.7313
