Area,Country,Year,Series,Value
4,Afghanistan,2019,Unemployment rate - Total,8.8
8,Albania,2019,Unemployment rate - Total,15.1
12,Algeria,2019,Unemployment rate - Total,9.9
24,Angola,2019,Unemployment rate - Total,8.9
32,Argentina,2019,Unemployment rate - Total,7.9
51,Armenia,2019,Unemployment rate - Total,18.4
36,Australia,2019,Unemployment rate - Total,5.5
40,Austria,2019,Unemployment rate - Total,5.4
31,Azerbaijan,2019,Unemployment rate - Total,5.0
44,Bahamas,2019,Unemployment rate - Total,11.4
48,Bahrain,2019,Unemployment rate - Total,1.2
50,Bangladesh,2019,Unemployment rate - Total,4.4
52,Barbados,2019,Unemployment rate - Total,9.4
112,Belarus,2019,Unemployment rate - Total,0.5
56,Belgium,2019,Unemployment rate - Total,6.5
84,Belize,2019,Unemployment rate - Total,9.3
204,Benin,2019,Unemployment rate - Total,2.3
64,Bhutan,2019,Unemployment rate - Total,2.5
68,Bolivia (Plurin. State of),2019,Unemployment rate - Total,3.2
70,Bosnia and Herzegovina,2019,Unemployment rate - Total,26.5
72,Botswana,2019,Unemployment rate - Total,17.8
76,Brazil,2019,Unemployment rate - Total,11.6
96,Brunei Darussalam,2019,Unemployment rate - Total,6.8
100,Bulgaria,2019,Unemployment rate - Total,4.4
854,Burkina Faso,2019,Unemployment rate - Total,6.2
108,Burundi,2019,Unemployment rate - Total,1.5
132,Cabo Verde,2019,Unemployment rate - Total,10.4
116,Cambodia,2019,Unemployment rate - Total,0.3
120,Cameroon,2019,Unemployment rate - Total,4.2
124,Canada,2019,Unemployment rate - Total,5.9
140,Central African Republic,2019,Unemployment rate - Total,5.6
148,Chad,2019,Unemployment rate - Total,5.9
830,Channel Islands,2019,Unemployment rate - Total,9.2
152,Chile,2019,Unemployment rate - Total,7.1
156,China,2019,Unemployment rate - Total,4.8
344,"China, Hong Kong SAR",2019,Unemployment rate - Total,2.9
446,"China, Macao SAR",2019,Unemployment rate - Total,2.0
170,Colombia,2019,Unemployment rate - Total,9.2
174,Comoros,2019,Unemployment rate - Total,4.3
178,Congo,2019,Unemployment rate - Total,11.5
188,Costa Rica,2019,Unemployment rate - Total,7.9
384,Côte dIvoire,2019,Unemployment rate - Total,2.6
191,Croatia,2019,Unemployment rate - Total,8.4
192,Cuba,2019,Unemployment rate - Total,2.6
196,Cyprus,2019,Unemployment rate - Total,9.9
203,Czechia,2019,Unemployment rate - Total,2.1
408,Dem. People's Rep. Korea,2019,Unemployment rate - Total,4.7
180,Dem. Rep. of the Congo,2019,Unemployment rate - Total,3.7
208,Denmark,2019,Unemployment rate - Total,5.3
262,Djibouti,2019,Unemployment rate - Total,5.8
214,Dominican Republic,2019,Unemployment rate - Total,5.5
218,Ecuador,2019,Unemployment rate - Total,4.2
818,Egypt,2019,Unemployment rate - Total,11.6
222,El Salvador,2019,Unemployment rate - Total,4.6
226,Equatorial Guinea,2019,Unemployment rate - Total,8.1
232,Eritrea,2019,Unemployment rate - Total,6.2
233,Estonia,2019,Unemployment rate - Total,5.5
231,Ethiopia,2019,Unemployment rate - Total,5.4
242,Fiji,2019,Unemployment rate - Total,6.2
246,Finland,2019,Unemployment rate - Total,8.1
250,France,2019,Unemployment rate - Total,8.6
258,French Polynesia,2019,Unemployment rate - Total,20.2
266,Gabon,2019,Unemployment rate - Total,19.2
270,Gambia,2019,Unemployment rate - Total,9.5
268,Georgia,2019,Unemployment rate - Total,11.6
276,Germany,2019,Unemployment rate - Total,3.6
288,Ghana,2019,Unemployment rate - Total,2.5
300,Greece,2019,Unemployment rate - Total,19.5
316,Guam,2019,Unemployment rate - Total,6.5
320,Guatemala,2019,Unemployment rate - Total,2.6
324,Guinea,2019,Unemployment rate - Total,4.5
624,Guinea-Bissau,2019,Unemployment rate - Total,6.0
328,Guyana,2019,Unemployment rate - Total,11.8
332,Haiti,2019,Unemployment rate - Total,13.8
340,Honduras,2019,Unemployment rate - Total,4.3
348,Hungary,2019,Unemployment rate - Total,3.5
352,Iceland,2019,Unemployment rate - Total,2.9
356,India,2019,Unemployment rate - Total,3.5
360,Indonesia,2019,Unemployment rate - Total,4.5
364,Iran (Islamic Republic of),2019,Unemployment rate - Total,12.2
368,Iraq,2019,Unemployment rate - Total,8.3
372,Ireland,2019,Unemployment rate - Total,6.0
376,Israel,2019,Unemployment rate - Total,3.8
380,Italy,2019,Unemployment rate - Total,10.4
388,Jamaica,2019,Unemployment rate - Total,11.9
392,Japan,2019,Unemployment rate - Total,2.4
400,Jordan,2019,Unemployment rate - Total,14.5
398,Kazakhstan,2019,Unemployment rate - Total,5.2
404,Kenya,2019,Unemployment rate - Total,11.4
414,Kuwait,2019,Unemployment rate - Total,2.0
417,Kyrgyzstan,2019,Unemployment rate - Total,7.4
418,Lao People's Dem. Rep.,2019,Unemployment rate - Total,0.7
428,Latvia,2019,Unemployment rate - Total,8.5
422,Lebanon,2019,Unemployment rate - Total,6.7
426,Lesotho,2019,Unemployment rate - Total,28.2
430,Liberia,2019,Unemployment rate - Total,2.5
434,Libya,2019,Unemployment rate - Total,15.0
440,Lithuania,2019,Unemployment rate - Total,6.8
442,Luxembourg,2019,Unemployment rate - Total,5.2
450,Madagascar,2019,Unemployment rate - Total,1.8
454,Malawi,2019,Unemployment rate - Total,6.0
458,Malaysia,2019,Unemployment rate - Total,3.3
462,Maldives,2019,Unemployment rate - Total,4.9
466,Mali,2019,Unemployment rate - Total,8.1
470,Malta,2019,Unemployment rate - Total,3.8
478,Mauritania,2019,Unemployment rate - Total,9.9
480,Mauritius,2019,Unemployment rate - Total,7.0
